path,role,reviewLevel,change,findings,disposition,tests,sha256
config/layer-contract.json,内部层图允许矩阵与已解决循环历史。,full-source-or-document,M,,保留已解决循环记录与允许矩阵，不将过去状态误当当前缺陷。,,0675df8564ee495c1215b3faaab2b3d4a3f5302392b29145879199deaf6c2f47
config/naming-lint.json,各目录命名规则与有范围例外。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,aa7673142a00b357be9e5e308288dd1bfc09606192b8eb9ae57bcb4dc17e4e46
config/side-effect-doctrine.json,blessed singleton/managed state/机检例外的机器规范。,full-source-or-document,M,MT-10,只更新不再存在的standing exception定位/状态；不要动实际有效blessed/managed例外。,,067715c2faf9757749821474650853a94ad9eb51408b5fa76dc26f1e789044c8
docs/entrypoint-effects.md,当前公共入口/工具副作用承诺。,full-source-or-document,M,MT-07,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,283c71bf5d1d0f7639b9481616f4a03b3b615ab23c92113b5456a5c638196123
docs/side-effect-doctrine-census.md,2026-06-12指定baseline的历史副作用清点与决策出处。,full-source-or-document,M,,该文明确as-found baseline，历史路径不等于待删除冗余；可增加当前路径注释，保留历史事实。,,dddaba4a0aa34d0235601278d6f588cf48605606f4a8c072ac8dfc810a408d30
package-lock.json,可复现依赖图和唯一Core本地链接；生成数据。,generated-json-record-audit,unchanged,,148条package记录完整解析；root依赖/engines与manifest一致，Vitest/coverage版本一致，唯一local link为Core，registry记录均含integrity。无需手工改锁。,,6a687d9f257d50d5d20497156b18b59030e76465bc946171207af5a006244d55
package.json,公共exports/imports、源码Core依赖、构建验证发布脚本。,full-source-or-document,M,,安全减少重复build：check先build一次后直接执行需要dist的两份smoke脚本；单独npm smoke命令仍应自建dist。不能删公共出口或Core边界门禁。,,dda01cc6eeef461ca18d49395f5584cd10ac0de94a18b329ab83b01962552e6f
scripts/build-agent.mjs,清理本仓 dist 后编译，符号链接仅删除链接本身。,root-implementation-and-regression-review,A,,新增共用实现或必要回归，无新增公开 package 入口。,,3903465659bf93eafda8869d1474750748462c11fb36b5caf879062d95f8c3b0
scripts/check-agent-space-edges.mjs,Core所有的空间依赖DAG/toolchain配置的只读消费门禁。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,872926c2864ab084b3a34f3b30673ecded326855683949dd73018361cc070a9b
scripts/codemod-rename.mjs,显式--apply的结构改名维护脚本，默认dry-run；支持NodeNext specifier。,full-source-or-document,M,"MT-03, MT-04",保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,d770bdd77e0eda760fd57fb581bc67ada674d2bec87814a8a6e679e510bc9d28
scripts/eval-judge-calibration.mjs,人工导出样本的 judge 校准 CLI、报告与源文件收据,full-source,M,KNOW-14,已全文审查；保留 mock/frozen 与真实 Core executor probe 的不同覆盖。精简限定为共享测试装配与重复校验数据。,test/mining-eval-harness.test.ts,a303164d1d68e5274604fe359c7decb3067455ad118d83777040baeb97fa3e91
scripts/eval-mining.mjs,真实普通/严格挖掘评估 CLI，隔离 project/data root 和内存 gateway,full-source,M,KNOW-12,已全文审查；保留 mock/frozen 与真实 Core executor probe 的不同覆盖。精简限定为共享测试装配与重复校验数据。,test/mining-eval-harness.test.ts,ea77fc1dd718ba0a51d61c07c30483ecb55d420daaa7d8523372645cef705dd1
scripts/eval-strict-production.mjs,frozen/mock 严格语义 helper 链评估及报告,full-source,M,,stageOrder是fixture静态声明后自比较，pipeline/stages/prompts仅做module hash；应将报告措辞限定为helper-chain/frozen顺序，或根据实际调用trace验证，不能宣称PipelineStrategy E2E。,test/mining-eval-harness.test.ts,93dd0d901442a2f620f0abd92fe5e77298f78a38ce7478173b574721a580e57e
scripts/fixtures/strict-public-connected-probe.mjs,公开 package consumer、真实 Core fact executor、Agent lineage/V5 durable authority、fresh-process 连通探针,full-source,M,,全文审查完成，已看到 root 的 project-context import 迁移。公开消费+真实Core executor是独立强验证；仅 malformed capture数据矩阵可共享。,"test/public-strict-facades.test.ts, test/fixtures/public-strict-consumer/strict-facades.ts",13a44aa073bd10330b0c5468439d597a3b586620d0ec24d0956eb0c7ae04bcbf
scripts/guard-agent-release-package.mjs,根manifest/lock禁止file:../依赖进入pack/publish的预发布保护。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,329fc5b8bc5a24348f1b3d07762e6b46ab47ac8d381f7fbf93c565e54cbe030b
scripts/lib/mining-eval-core.mjs,候选启发式匹配、指标聚合、报告纯函数,full-source,unchanged,,已全文审查；保留 mock/frozen 与真实 Core executor probe 的不同覆盖。精简限定为共享测试装配与重复校验数据。,test/mining-eval-harness.test.ts,75ab904bd2eb8c0a444b94f337bbb2e2a8811a15ab72ec18dba772611621d8df
scripts/lib/mining-eval-runtime.mjs,隔离评估用知识写入端口及失败证据收据。,root-implementation-and-regression-review,A,,新增共用实现或必要回归，无新增公开 package 入口。,,388cda23815167732d3e136a92aa95c192ae9587bba8983762c7887e3b00c396
scripts/lint-agent-import-boundary.mjs,禁止Agent引入Plugin/MCP/Codex/channel交付层及禁目录。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,9b61639b57a5a9737ff66d32a496ab95cfb82c248cac0ea7b54d12679a535f05
scripts/lint-agent-public-api-boundary.mjs,冻结公共出口分类、contract matrix及禁止subpath样本验证。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,23183f21341f15d5fdde31b333edc54627e4b42e6bc6537f72f530b6779cada0
scripts/lint-doctrine.mjs,module-scope let与空Map/Set两类副作用信条可机器检查项。,full-source-or-document,unchanged,,只覆盖注释声明的两种机器可检查模式，不能宣传它完整证明全部副作用信条；配合真实entrypoint测试。,,2f94cc9a5e79981a171188c6d7a7ce6985d4eb5717fc819db8a25fe88da8b5f9
scripts/lint-layer-contract.mjs,src内部区域runtime import图与明确例外校验，type-only独立统计。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,2f2031737d86cffb172f1dff79db3342a3a278f24e3c8c89b904120a560ac961
scripts/lint-naming.mjs,按源码/脚本/配置区域应用命名约束及具owner例外。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,870499534d91600e7b2308c77a05da4613d45e989b162d07867aaa1019f74562
scripts/lint-provider-neutral-kernel.mjs,runtime/evaluation/strategy中的厂商字符串回归门禁。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,cb06075828e428534fd293e88cb0604d6564422df868e07778cc08e08134f0da
scripts/probe-agent-public-strict-consumer.mjs,真实Alembic宿主上下文中的公共严格链运行与NodeNext类型消费验证。,full-source-or-document,unchanged,,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,72c12bf154fc65c8f2e04730f045b6f48b9bdf3c0f35cfa845f89672730f656e
scripts/probe-embedding-capacity-hint.mjs,构建后dist AI能力提示的只读独立probe，无provider调用。,full-source-or-document,unchanged,,与unit测试输入有重叠但验证dist入口，不自动删除；可以共享案例表但不能把dist验证换成src测试。,,1d7686b1278c35779068326b38cd62747ffb9777ae1b20e3e503bf9fda655da4
scripts/smoke-agent-public-imports.mjs,真实package export动态导入及禁止deep import反向验证。,full-source-or-document,unchanged,,与signature/import单测存在交集但包含真实Node package解析及负subpath；保留产物边界验证。,,fe5c6a152b9937824b19b5027c58eb27a9b117ccc0009fd7b0c175cbcfb24cda
scripts/smoke-agent-public-signatures.mjs,构建后公共出口精确名字+runtime kind哈希快照校验。,full-source-or-document,unchanged,,名称+kind快照不等于完整TS参数签名检查；搭配strict consumer类型fixture，不能互相替代。,,c2e938f7559de39c2d452c15eaa90a5dcbfff7555087a98241c1d2297aa5874b
scripts/stage-agent-publish-package.mjs,本地源码基线转registry依赖的发布stage与Core提交溯源。,full-source-or-document,M,"MT-05, MT-09",保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,6e9a3b29b16ec4e99e7b35293ad8e643653ac340983099b0a2bacb92a456265c
scripts/verify-agent-validation-floor.mjs,测试/公共出口/Core reference/pack条目及必需suite的冻结下限。,full-source-or-document,M,MT-08,保留当前职责，未发现可安全直接删除的门禁/配置；问题详见findings。,,b2151fb35289f7845a792076d579d36b230f1c80d6b648cd5e39655f69fe3d33
src/agent/context/ContextWindow.ts,Provider 消息缓冲、工具 transcript 原子轮次、分级压缩与工具结果配额。,full-source-read,M,"PC-03, PC-09",修正文件头旧三级压缩说明；limitToolResultBody 的第二个 batchResults 分支不可达，limitSearchResultObj 的 string 分支也被前置非object return吞掉。仅做等价控制流简化。,test/ContextWindow.test.ts,d1e40db5e199ffc39078a4557288ad8b1b1b978a5d6f842e2f857aa1c3d29a92
src/agent/context/ConversationStore.ts,宿主对话索引及 JSONL 读写、预算裁剪和模型摘要。,full-source-read,M,"PC-01, PC-10",_SUMMARY_TARGET_TOKENS 未使用，可移除；解析 JSONL 逻辑在 load/summarize 可内部复用并统一验证。,test/memory-context.test.ts,97f12ed24b7ae016d738f424c68ed1ad16114fe3d737356326663bee1cea268d
src/agent/context/ExplorationTracker.ts,探索阶段状态机、工具证据/提交计数和退出决策。,full-source-read,M,PC-19,onTextResponse 中 VERIFY/RECORD 旧提示仍写 evidence 而当前 handler 要求 evidenceRefs，修正文案避免无效调用；不要删明确阶段边界。,"test/memory-note-finding.test.ts, test/ExplorationStrategies.test.ts",6af5fe6a6fe6b5241fe851898dd39f73b11cb417f412884a7560ab91ae974c8f
src/agent/context/exploration/ExplorationStrategies.ts,Analyst/Producer/Generate 的声明式阶段转换与配额。,full-source-read,unchanged,,保持配额与阶段判断原义；不以审查便利改变产品目标、发现阈值或生产提交义务。,test/ExplorationStrategies.test.ts,bc12c1830804fff6492b97d615153622cda5d8bf1ebc779b5b15e84ef5b1a98f
src/agent/context/exploration/NudgeGenerator.ts,阶段、停滞、预算和反思提示生成；有限次数 bootstrap nudge。,full-source-read,unchanged,,未发现可安全删除的实现；保留已声明能力与公开接口。,"test/ContextWindow.test.ts, test/ExplorationStrategies.test.ts",7159e5a283913f0e574e42f30240085201015cd49e51bd03c978b49560e87fd3
src/agent/context/exploration/PlanTracker.ts,计划提示、重规划、动作与计划步骤的启发式覆盖评分。,full-source-read,unchanged,,未发现可安全删除的实现；保留已声明能力与公开接口。,"test/ContextWindow.test.ts, test/ExplorationStrategies.test.ts",ac8955737be2340f390ca6a296192ae7962d2d5fda47909116b90c4598d4dbb2
src/agent/context/exploration/SignalDetector.ts,根据工具动作及目标跟踪新文件、新关键词和新查询。,full-source-read,unchanged,,未发现可安全删除的实现；保留已声明能力与公开接口。,"test/ContextWindow.test.ts, test/ExplorationStrategies.test.ts",0547386acbd0f03ba600f9918b45b8578d130539f82b98d4e827ce980d964935
src/agent/context/index.ts,公共 barrel 导出；保留 package export/内部模块访问边界。,full-source-read,unchanged,,未发现可安全删除的实现；保留已声明能力与公开接口。,"test/ContextWindow.test.ts, test/ExplorationStrategies.test.ts",11ba5b6e768742a8f02635da0507d1f124c553fd736ecefb87790902eebc4bfc
src/agent/context/l4MemoryPackage.ts,L4 摘要的结构化输入包、证据引用与保留校验。,full-source-read,unchanged,,unresolvedQuestions输入保存在package但render未输出；若维持字段承诺应加入render/validation。L4默认关闭，避免把可选能力移除。,"test/ContextWindow.test.ts, test/ExplorationStrategies.test.ts",854fadfa11361534a0a8871c45c0e4bf945e48b58252f5deab6de84a7b61cdf4
src/agent/coordination/AgentRunCoordinator.ts,按 profile 的 partitioner/tier/concurrency 运行子任务，处理懒加载输入、回调与结果合并。,full-source-read-this-round,M,"RUNTIME-008, RUNTIME-009",未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,,355ced9e0835d7228ea80014d72f89c78253cc38f8acbc1a97db35e8149a91bb
src/agent/domain/index.ts,受限公开 facade 或内部 barrel；已核对转导出归属,full-source,unchanged,,公开兼容 facade 仍被邻仓 CompletionSteps 动态消费，不删。,test/contract-surface.test.ts,e3d4dbd8a3971016b312930ca115755cb9006576e2c5fb49e521e5bdabe84c61
src/agent/evaluation/DurableSemanticReviewRuntime.ts,真实 provider 调用、权威证据装载、Core V5 durable attestation 与取消/超时错误分类,full-source,unchanged,,分组/绑定/物理证据 root 校验逐层不同；不可为降行数删去。仅可抽验证纯函数模块，并保留取消和 partial output 拒绝。,test/durable-semantic-review-runtime.test.ts,6aac4b557641ad597188377173071cf488b455591f4c3780b1ffd977e4caedb4
src/agent/evaluation/IndependentValueReviewer.ts,冻结证据上的独立六轴价值评审与输出校验,full-source,unchanged,,frozen evidence projection 的构造和 StrictProducerEvidenceProjection 的完整性校验结构重复；可提取纯共享验证器，但必须保留字段/hash/error code 的公共兼容和 source vector 绑定。,test/strict-production-chain.test.ts,a834360594b2b50fcc60f24043a3d529f5cf74f4dc563f565441c34658a5caec
src/agent/evaluation/InvestigatedEmptyReviewer.ts,investigated-empty Core consumer 的兼容 class 入口,full-source,unchanged,,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,test/strict-production-chain.test.ts,2526b4dd086ba2c65235b866f83a36edf6642d2f15a32f6f259af02dc800a093
src/agent/evaluation/MiningJudge.ts,评估脚本证据重切、judge rubric、模型装载收据、校准指标,full-source,M,KNOW-01,与 analysisArtifact 收敛只读根内源码切片；校准指标和价值评审口径不同，不能直接合并。,test/mining-eval-harness.test.ts,b8dcbd56b9ee8611f78896fe2f278ecc3db498898f9d9162822e9f79429e2f95
src/agent/evaluation/StrictProductionFixtureEvaluation.ts,离线真实 runtime 评估所用冻结 fixture provider/port,full-source,unchanged,,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,test/mining-eval-harness.test.ts,79815694af4b184aa771fbff70f4373f0d63ae9fe8fb44644d3650376ea5c71f
src/agent/evaluation/analysisArtifact.ts,普通分析工件、证据摘要与受限源码补齐,full-source,M,KNOW-09,安全读范围函数可私有共享；legacy derived finding 与 strict Core-only 路径不能混并。,"test/evidence-collector-fidelity.test.ts, test/strict-production-chain.test.ts",8c237ae5ecb921d742dacff148b0285f33b87e43cc893edd630afd10f47937a8
src/agent/evaluation/gateEvaluators.ts,普通质量门、模块覆盖、演化完成与提交拒绝率接线,full-source,M,"KNOW-08, KNOW-07",KNOW-07/08 修复时抽内部演化结果/提交结果分类；避免共享函数移回 prompts 造成层依赖倒置。,"test/module-context-assembler.test.ts, test/evidence-recording-phase-chain.test.ts",c9b2b9729c6c0f2846eb871cdf0441cb792ea466517436a623acf65f3c901c7c
src/agent/evaluation/index.ts,受限公开 facade 或内部 barrel；已核对转导出归属,full-source,unchanged,,文件头“不提供 evaluation public facade”表述过期；实际 root src/evaluation.ts 是受限 facade，本 internal barrel 不能取代它。,test/contract-surface.test.ts,739d5731780c2dcbd3e2eac83058926785d600dd2e239cdb02e4694168921d4f
src/agent/evaluation/qualityGates.ts,普通分析多维评分、修复路由、深度接地规则,full-source,M,KNOW-10,可立即清除 KNOW-10；不要删除仍供公共 prompts facade 使用的质量门函数。,"test/insight-depth-retry.test.ts, test/summary-rewrite-gate.test.ts",e0a0a08281ddf30599671fe1330565146794b428ac6956a480ae466fab12f358
src/agent/evaluation/stageBuilders.ts,普通 scan 与 relations 流水线阶段工厂,full-source,unchanged,,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,,7e0bf6b68bd0e3a7b977ffe982950521385770eefe11f3073e6a11c9325db86e
src/agent/evidence/EvidenceCapture.ts,真实工具返回归一、台账录入和模型可见 E-id 标注,full-source,M,KNOW-02,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,"test/EvidenceCapture.test.ts, test/EvidenceToolAndQuota.test.ts",a8dd1b527f16d50374a5af00b45b0a9070185a6a8550f5305499cb04eb81bede
src/agent/evidence/EvidenceCollector.ts,普通分析工具轨迹的片段、图谱与负空间信号提取,full-source,M,KNOW-03,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,"test/evidence-collector-fidelity.test.ts, test/mining-e2e-pipeline.test.ts",821b1058c0b2bf23a6ae5a61e6b18b76946bad11eb999595723802600a10e666
src/agent/evidence/EvidenceLedgerStore.ts,append-only JSONL、hash、freshness、hydration 与检索,full-source,unchanged,,seedLedgerFromJobSiblings 自行 JSON.parse 且仅检查 tool truthy/content string，没有复用 isValidEvidenceEntry/hash 检查，是待核实的次级 authority 绕路；当前没有动态复现，不能报告已修。,"test/EvidenceLedgerStore.test.ts, test/SubmitEvidenceExpansion.test.ts, test/production-evidence-ledger-authority.test.ts",319dfaa6c83ec8d547b333b4999517285930881a09aedede5169d212ebe1de40
src/agent/evidence/ProductionEvidenceLedgerAuthority.ts,trusted coordinates 上 capture/read facet 与私有 WeakMap authority,full-source,unchanged,,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,"test/production-evidence-ledger-authority.test.ts, test/durable-semantic-review-runtime.test.ts",f9965dc143c401c30d490f257a5014798cd0ec483861c35a3b45299ec14963c5
src/agent/index.ts,公开或内部barrel；逐行审阅re-export，保留稳定消费边界。,full-source-read-this-round,unchanged,,未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,,7918d84ad002e855a918d13175bb91055782f105aeaa41a34429e6bd3ccbd7b1
src/agent/memory/ActiveContext.ts,单运行工作记忆：发现 scratchpad、观察日志、计划和蒸馏。,full-source-read,M,PC-17,未发现可安全删除的实现；保留已声明能力与公开接口。,"test/l4-memory-package.test.ts, test/ActiveContext.test.ts, test/memory-note-finding.test.ts",f2b2bbbdbfbc8d003b3aa05f17ceaed8c96a2702b3b971f273de341e95718b14
src/agent/memory/EpisodicConsolidator.ts,将会话 findings/reflections/文本事实提取为持久记忆候选。,full-source-read,unchanged,,真实宿主CompletionSteps实际调用，不能因本仓没有调用而删除。,test/memory-context.test.ts,59e8e6240946c35bc39432f9f9b4dd35f71bc27b78b4240ebb75b01f6815ae38
src/agent/memory/MemoryConsolidator.ts,持久记忆冲突更新、相似去重/合并及旧 JSONL 迁移。,full-source-read,M,PC-21,未发现可安全删除的实现；保留已声明能力与公开接口。,test/memory-context.test.ts,c5e8855c580ce0771a5f0cc6eeb631a5be321c1d369fa86e02930f0614f4f6e9
src/agent/memory/MemoryCoordinator.ts,记忆作用域、三层预算和注入、发现写入、缓存及 checkpoint 协调。,full-source-read,M,PC-18,NON_CACHEABLE_TOOLS 与 SessionStore 重复，明确SessionStore为缓存权限唯一实现后可删重复检查；completeSession只是生命周期钩子，不能以空实现为由自动加入宿主固化。,"test/memory-context.test.ts, test/memory-note-finding.test.ts",39732124b255163cb6d2ce6d2b2a4ed7291b78843bbc4c5852f2dc865df33a50
src/agent/memory/MemoryEmbeddingStore.ts,记忆向量 JSON sidecar、延迟刷盘和 GC。,full-source-read,unchanged,,#writeFile吞掉失败但flush仍清dirty，建议保留dirty并可观测重试；embeddingStore保留空向量/外部可变数组问题应在独立存储边界验证中处理。,test/memory-context.test.ts,2bad4cc88034fd0f5cbaef8636461807c9dbf8928e1ca65d493cecd492871e03
src/agent/memory/MemoryFlushContract.ts,工作记忆蒸馏与维度刷新类型契约及高重要性筛选。,full-source-read,unchanged,,公开跨层类型，不能因局部调用少直接删；Finding投影丢evidenceRefs应与SessionStore完整恢复一起明确。,test/memory-context.test.ts,fcd3de8ff6c8862b01e648ac69053529b3787d96f1f7db58ad15378bccf43f23
src/agent/memory/MemoryRetriever.ts,词汇/向量混合检索、时间/重要性评分、prompt 生成及旧 append 兼容。,full-source-read,M,PC-20,stalenessPrefix 的 updatedAt || lastAccessedAt || updatedAt 尾项冗余；按实际文本预算装配可替代固定每条30token估算。,test/memory-context.test.ts,b8d526ebe4e8924f046e478615607c4f742e91106b2c803f2ac321235c0e1d51
src/agent/memory/MemoryStore.ts,Core semantic_memories schema 的同步 SQLite 适配、CRUD 和维护。,full-source-read,unchanged,,Core提供schema，Agent raw-SQL适配仍有真实宿主消费；不搬迁/删除仓储边界。,test/memory-context.test.ts,788ffa1f5a996c3d712c49a407b848bcd3570b204b78de5681ff66564a2f88fc
src/agent/memory/PersistentMemory.ts,MemoryStore/Retriever/Consolidator 公共门面及宿主 embedding 注入。,full-source-read,unchanged,,真实宿主RuntimeInitializer/CompletionSteps消费；门面不冗余。保留 public load/append和migrateFromLegacy兼容直到消费扫描与迁移完成。,test/memory-context.test.ts,554126099b676303c72eac29c176e74701e996704db62622b9fb9c1a3f59b1d0
src/agent/memory/SessionStore.ts,跨维度报告与证据索引、公开只读工具缓存、序列化及 checkpoint。,full-source-read,M,"PC-11, PC-12, PC-13",cache写法可合并为按规范请求key的共享cache，保留公开 get/set适配；fromJSON与loadCheckpoint统一恢复过程。当前宣称LRU但命中不刷新顺序，需明确FIFO或实现LRU。,test/memory-context.test.ts,258105c519068873980c2572a55b7b8bbe80628d40d5d869ba47ad7a8e340882
src/agent/memory/SessionStoreSchema.ts,会话快照顶层形状验证及兼容缺省值。,full-source-read,M,,未发现可安全删除的实现；保留已声明能力与公开接口。,test/memory-context.test.ts,b0ae35d79bae0b5ec67297adc535e3b0c0d8ca55180daab5132e3709a5dec3f7
src/agent/memory/index.ts,公共 barrel 导出；保留 package export/内部模块访问边界。,full-source-read,unchanged,,未发现可安全删除的实现；保留已声明能力与公开接口。,test/memory-context.test.ts,5f5d4ef5249f92514024fea75ce1d8e8670527b05d1456b95cdec541d4abcd43
src/agent/policies/BudgetPolicy.ts,轮次、时间、会话 token 的策略限制及 runtime budget 配置。,full-source-read-this-round,unchanged,RUNTIME-004,未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,,eaafd4cf8d8c23960db2945ed5f0bfb8c3118f979154b5af155aed7419655b45
src/agent/policies/Policy.ts,执行前/中/后与配置处理的策略基类契约。,full-source-read-this-round,unchanged,,未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,,32e1b78bd096e6e0e69654a38264f3f43d9251f2b23fa6bf1966bc62d91bfa19
src/agent/policies/PolicyEngine.ts,组合策略并提供 budget 与工具安全校验入口。,full-source-read-this-round,M,RUNTIME-006,未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,,306daeebe81e1523e46c7552d920afd7bf6bcf361e4d6188903d2e9bb7f216a9
src/agent/policies/QualityGatePolicy.ts,执行后证据长度、文件引用、工具调用数量与自定义质量提示。,full-source-read-this-round,M,RUNTIME-018,未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,,76ffc0cb0912c4e130d6b2b0dc0c49826f4073ad875abe3d03437967211e951a
src/agent/policies/SafetyPolicy.ts,发送者、文件范围、命令黑名单和需要审批工具的策略。,full-source-read-this-round,unchanged,,未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,,8001dd251ee08e8dddfbe24a57d9b993e7382b07fda3721a2ffce2bbc5c118f0
src/agent/policies/index.ts,公开或内部barrel；逐行审阅re-export，保留稳定消费边界。,full-source-read-this-round,unchanged,,未发现有证据可直接删除的职责；声明式profile/barrel与公开接口按现有消费者保留。,test/agent-surface-floor.test.ts,ce0bb0dbd50cb1a7f6a1f58fc53300b50c9d43867a23e635bbf40d1ab1e9feb7
src/agent/production/StrictProductionPipeline.ts,严格分析 epoch、扩展登记、归纳反证、fixpoint、Producer lineage 与 terminal receipt 校验,full-source,unchanged,,文件大但大部分是不同 Core receipts 的具体约束。可按 epoch/producer-lineage 私有拆分；不要把 hash integrity 检查当可删除重复 authority。,"test/strict-production-chain.test.ts, test/strict-iterative-analysis.test.ts, test/strict-production-rework.test.ts",e2dec90848b7df222c2cf2f91752a17831899c4c20ccc6fdcc0a32ccf6114937
src/agent/production/StrictProductionPrompts.ts,冻结语义投影上的无工具 Analyst/Producer 提示,full-source,unchanged,,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,test/strict-production-chain.test.ts,0769af8b096240989a065c281051bafeede31aa331e6ccbc43f3ab5b01d9f4d5
src/agent/production/StrictProductionStages.ts,严格生产四阶段接线与宿主端口边界,full-source,unchanged,,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,"test/strict-production-chain.test.ts, test/strict-iterative-analysis.test.ts",183ae0eb7d3403d158f082d3263823d506d711dfac01d0d1a98b0c55fc0e9c1b
src/agent/production/index.ts,受限公开 facade 或内部 barrel；已核对转导出归属,full-source,unchanged,,未发现可直接删除的无消费者能力；保留职责边界，优先行为修复。,test/contract-surface.test.ts,4751a15835697c541321aa96238ae25b004a5607becc52b83344304877d5048e
