文件,模块组,变更,审查深度,职责/结论,基线行数,当前行数,审查报告
scripts/check-space-edges.mjs,foundation,retained,manual-full,manifest/source依赖DAG和Node/TS/Biome/Vitest版本下限门禁。,154,153,foundation-review.json; foundation-root-round2-review.json
scripts/clean-dist.mjs,foundation,retained,manual-full,根目录固定dist清理，有显式路径校验；构建产物保持ignored。,14,13,foundation-review.json; foundation-root-round2-review.json
scripts/codemod-rename.mjs,foundation,modified,manual-full,有dry-run的git mv与引用更新；修复移动导入方时相对依赖仍按旧目录计算。,239,241,foundation-review.json; foundation-root-round2-review.json
scripts/lint-consumer-core-imports-all.mjs,foundation,retained,manual-full,按consumer配置汇总跨仓import检查；缺席consumer显式skip、扫描失败显式非零。,100,99,foundation-review.json; foundation-root-round2-review.json
scripts/lint-consumer-core-imports.mjs,foundation,retained,manual-full,配置驱动consumer文件扫描、import提取、公共性和引用数量检查；skip目录规则保持。,411,410,foundation-review.json; foundation-root-round2-review.json
scripts/lint-doctrine.mjs,foundation,retained,manual-full,受控模式的模块级mutable状态扫描，显式blessed豁免；不是完整TS语义证明。,119,118,foundation-review.json; foundation-root-round2-review.json
scripts/lint-layer-contract.mjs,foundation,retained,manual-full,跨area runtime相对import矩阵、type-only豁免与file级blessing；保留机器规则，仅校正文档矛盾。,133,132,foundation-review.json; foundation-root-round2-review.json
scripts/lint-naming.mjs,foundation,retained,manual-full,active命名规则和有声明的parked scopes；禁止把parked当已检查。,94,93,foundation-review.json; foundation-root-round2-review.json
scripts/lint-retired-symbols.mjs,foundation,retained,manual-full,跨仓旧概念名回流检查和兼容路径allowlist；现有check命令使用--dirs=语法。,80,79,foundation-review.json; foundation-root-round2-review.json
scripts/lint-ring-direction.mjs,foundation,retained,manual-full,宿主四环import方向检查；保持领域明确允许的generate/sustain双向关系。,101,100,foundation-review.json; foundation-root-round2-review.json
scripts/lint-scope-resolution.mjs,foundation,retained,manual-full,扫描/写路径要求scope-aware resolver及有理由单根例外。,159,158,foundation-review.json; foundation-root-round2-review.json
scripts/probe-private-revision-rehydrate.mjs,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,252,251,foundation-review.json
scripts/public-api-boundary-policy.mjs,foundation,retained,static,"Exports: FirstStatement, FirstStatement, FirstStatement, FirstStatement, FirstStatement, loadPublicApiBoundaryPolicy, makePublicApiBoundaryClassifier, classifyPublicApiExport, specifierToExportPath, classifyCoreImportSpecifier, summarizePublicApiExports, getPublicApiCloseoutManualCategories",446,445,foundation-review.json
scripts/report-public-api-closeout.mjs,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,407,406,foundation-review.json
scripts/smoke-public-api.mjs,foundation,modified,manual-full,61个exact public入口runtime导入与必要声明symbol解析；由文字存在检查改为TS真实export graph，保留全部必需/禁用名称与引用规则。,646,672,foundation-review.json; root-final-gate-review
scripts/strict-production-authority-probe.mjs,foundation,retained,static,Module/configuration/documentation; dependency and structure inventory recorded,1320,1319,foundation-review.json
src/capability.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,12,11,foundation-review.json; foundation-root-final-sources-review.json
src/config.ts,foundation,retained,manual-full,Module/configuration/documentation; dependency and structure inventory recorded,45,44,foundation-review.json
src/core/AstAnalyzer.ts,intelligence,modified,manual-full,插件注册/每语言Parser缓存、单文件AST摘要、跨文件继承与指标聚合，以及Guard查询和Tree所有权入口。,1153,1232,intelligence-review.json
src/core/analysis/CallEdgeResolver.ts,intelligence,retained,manual-full,以callerFile/FQN索引按this→DI→import→local→unique-global→RTA/CHA解析CallSite，去重同caller/callee/line。,477,476,intelligence-review.json
src/core/analysis/CallGraphAnalyzer.ts,intelligence,modified,manual-full,组合符号表、路径解析、调用边解析和数据流推断；按文件数选择CHA/full/sampled/import-only并输出预算/覆盖统计。,420,421,intelligence-review.json
src/core/analysis/CallSiteExtractor.ts,intelligence,modified,manual-full,在语言walker之后二次遍历TS/JS/TSX与Python AST方法体，收集callee/receiver/caller/await/argCount和构造/JSX调用。,751,751,intelligence-review.json
src/core/analysis/DataFlowInferrer.ts,intelligence,retained,manual-full,"跨文件符号、import和调用/数据流推断；导出 DataFlowEdge, DataFlowInferrer",55,54,intelligence-review.json
src/core/analysis/ImportPathResolver.ts,intelligence,modified,manual-full,将caller相对import或tsconfig paths alias解析到给定allFiles索引；按输入顺序为无扩展名/index/__init__建立别名，裸specifier识别外部依赖。,203,222,intelligence-review.json
src/core/analysis/ImportRecord.ts,intelligence,retained,manual-full,"跨文件符号、import和调用/数据流推断；导出 ImportRecordMeta, ImportRecord",113,112,intelligence-review.json
src/core/analysis/SymbolTableBuilder.ts,intelligence,retained,manual-full,把AstAnalyzer fileSummaries投影成FQN declarations、fileExports/fileImports、实例化类集合及DI属性类型表。,206,205,intelligence-review.json
src/core/analysis/index.ts,intelligence,retained,manual-full,对外转发7个跨文件分析模块；没有运行时装配状态。,8,7,intelligence-review.json
src/core/ast/ProjectGraph.ts,intelligence,modified,manual-full,扫描并索引类/协议/Category/方法的公开兼容项目图，含JSON缓存及增量更新。,807,851,intelligence-review.json
src/core/ast/ensureGrammars.ts,intelligence,retained,manual-full,"Tree-sitter语言解析/语法资源与项目AST图；导出 ensureGrammars, reloadPlugins, inferLanguagesFromStats",123,122,intelligence-review.json
src/core/ast/index.ts,intelligence,retained,manual-full,将随包WASM资源顺序加载并注入11种语言插件；提供资源清单/ensure/reload桥接。,265,264,intelligence-review.json
src/core/ast/lang-dart.ts,intelligence,modified,manual-full,Dart class/mixin/extension/字段和兄弟函数体抽取，Flutter模式及调用点。,1155,1155,intelligence-review.json
src/core/ast/lang-go.ts,intelligence,modified,manual-full,Go package/import/type/receiver方法/全局变量、goroutine/channel模式与调用点。,750,748,intelligence-review.json
src/core/ast/lang-java.ts,intelligence,modified,manual-full,Java导入/package、类/接口/record/成员/DI注解与调用点。,687,689,intelligence-review.json
src/core/ast/lang-javascript.ts,intelligence,retained,manual-full,JS声明/类成员/constructor赋值属性、启发式模式与方法复杂度walker。,377,376,intelligence-review.json
src/core/ast/lang-kotlin.ts,intelligence,retained,manual-full,Kotlin class/object/companion、属性与constructor DI、函数修饰符和调用点。,808,807,intelligence-review.json
src/core/ast/lang-objc.ts,intelligence,retained,manual-full,ObjC interface/protocol/category/implementation、方法/属性与命名模式抽取。,477,476,intelligence-review.json
src/core/ast/lang-python.ts,intelligence,modified,manual-full,Python模块导入、class/function/decorator/property与模式事实插件。,411,436,intelligence-review.json
src/core/ast/lang-rust.ts,intelligence,modified,manual-full,Rust use/mod/struct/enum/trait/impl、可见性/derive及调用点与模式。,1042,1040,intelligence-review.json
src/core/ast/lang-swift.ts,intelligence,modified,manual-full,Swift语法声明/extension/protocol/property与模式和函数作用域调用点。,748,733,intelligence-review.json
src/core/ast/lang-typescript.ts,intelligence,retained,manual-full,TS/TSX共享walker，产出类/协议/type/enum/方法/属性、结构化导入与DI类型，并接中央callSites pass。,818,817,intelligence-review.json
src/core/ast/parserInit.ts,intelligence,retained,manual-full,"Tree-sitter语言解析/语法资源与项目AST图；导出 initParser, getParserClass, isParserReady, loadLanguageWasm",80,79,intelligence-review.json
src/core/capability/CapabilityProbe.ts,intelligence,retained,manual-full,本地/remote dry-run写范围探测、TTL缓存与失败只读；是兼容探针，不作为实际远端写入授权证明。,278,277,intelligence-review.json; root-intelligence-review.json
src/core/capability/index.ts,intelligence,retained,manual-full,模块公共barrel：逐项核对拥有层与导出来源；只转发既有能力，不新增根入口或破坏深路径兼容。,2,1,intelligence-review.json; root-intelligence-review.json
src/core/discovery/CustomConfigDiscoverer.ts,intelligence,modified,manual-full,指纹/用户profile/启发式选择Ruby/YAML/Starlark/Gradle/CMake/JSON拓扑解析。,1477,1559,intelligence-review.json
src/core/discovery/DartDiscoverer.ts,intelligence,retained,manual-full,pubspec/Flutter框架、lib/bin/test/example及Melos约定包发现。,522,521,intelligence-review.json
src/core/discovery/DiscovererPreference.ts,intelligence,retained,manual-full,"项目生态发现、目标/文件/依赖清单；导出 DiscovererPreferenceData, DetectMatch, ConflictResult, detectConflict, loadPreference, savePreference",156,155,intelligence-review.json
src/core/discovery/DiscovererRegistry.ts,intelligence,retained,manual-full,项目生态发现、目标/文件/依赖清单；导出 DiscovererRegistry,145,144,intelligence-review.json
src/core/discovery/GenericDiscoverer.ts,intelligence,modified,manual-full,低置信度通用目录兜底，按语言采样和顶层常见目录产target。,233,233,intelligence-review.json
src/core/discovery/GoDiscoverer.ts,intelligence,retained,manual-full,go.mod标记、module/cmd/test目标、内部package及import边。,549,548,intelligence-review.json
src/core/discovery/JvmDiscoverer.ts,intelligence,modified,manual-full,Gradle/Maven模块与JVM源文件发现，框架和project依赖。,505,496,intelligence-review.json
src/core/discovery/NodeDiscoverer.ts,intelligence,retained,manual-full,package/tsconfig标记、npm/yarn/pnpm/lerna workspace目标、框架与依赖关系。,462,461,intelligence-review.json
src/core/discovery/ProjectDiscoverer.ts,intelligence,retained,manual-full,定义发现target/file/graph、可选取消上下文及可覆写基类。,127,126,intelligence-review.json
src/core/discovery/PythonDiscoverer.ts,intelligence,retained,manual-full,PEP621/requirements标记、src/flat包与测试目录、Python框架和依赖名。,347,346,intelligence-review.json
src/core/discovery/RustDiscoverer.ts,intelligence,retained,manual-full,Cargo crate/workspace目标、examples/benches/tests和依赖、内部目录节点。,523,522,intelligence-review.json
src/core/discovery/SourceScanExclusions.ts,intelligence,retained,manual-full,"项目生态发现、目标/文件/依赖清单；导出 FirstStatement, createSourceScanExcludeDirs, isSourceScanExcludedDir",45,44,intelligence-review.json
src/core/discovery/SpmDiscoverer.ts,intelligence,modified,manual-full,Package.swift有限静态解析、多Package/target、源码目录与依赖图。,495,530,intelligence-review.json
src/core/discovery/index.ts,intelligence,retained,manual-full,惰性创建单例Registry、注册9种discoverer并导出parser契约。,120,119,intelligence-review.json
src/core/discovery/parsers/CMakeParser.ts,intelligence,modified,manual-full,静态CMake project/target/subdirectory/link数据提取。,198,198,intelligence-review.json
src/core/discovery/parsers/GradleDslParser.ts,intelligence,retained,manual-full,Kotlin/Groovy settings include、build project依赖与convention role。,230,229,intelligence-review.json
src/core/discovery/parsers/JsonConfigParser.ts,intelligence,retained,manual-full,Nx单project、Flutter插件平台条目和React Native信号的纯字符串解析。,181,180,intelligence-review.json
src/core/discovery/parsers/RubyDslParser.ts,intelligence,retained,manual-full,不执行Ruby的Boxfile层/模块/访问与boxspec/podspec字段提取。,373,372,intelligence-review.json
src/core/discovery/parsers/StarlarkParser.ts,intelligence,retained,manual-full,BUILD/BUCK/Pants规则调用、load、name/srcs/deps/visibility静态提取。,285,284,intelligence-review.json
src/core/discovery/parsers/YamlConfigParser.ts,intelligence,retained,manual-full,js-yaml CORE_SCHEMA读取XcodeGen和Melos，投影成既有Ruby配置模型。,322,321,intelligence-review.json
src/core/enhancement/AndroidEnhancement.ts,intelligence,retained,manual-full,Android lifecycle/Compose维度与AST特征,105,104,intelligence-review.json; enhancement-review.json
src/core/enhancement/DjangoEnhancement.ts,intelligence,retained,manual-full,Django/DRF模型、API和Signal增强包,246,245,intelligence-review.json; enhancement-review.json
src/core/enhancement/EnhancementPack.ts,intelligence,retained,manual-full,增强包运行接口和窄AST输入结构,161,160,intelligence-review.json; enhancement-review.json
src/core/enhancement/EnhancementRegistry.ts,intelligence,retained,manual-full,按语言与框架选择的增强维度及Guard规则；导出 EnhancementRegistry,38,37,intelligence-review.json
src/core/enhancement/FastAPIEnhancement.ts,intelligence,retained,manual-full,FastAPI路由、中间件与ORM模式指导,220,219,intelligence-review.json; enhancement-review.json
src/core/enhancement/GoGrpcEnhancement.ts,intelligence,retained,manual-full,Go gRPC服务与interceptor增强,160,159,intelligence-review.json; enhancement-review.json
src/core/enhancement/GoWebEnhancement.ts,intelligence,retained,manual-full,Go HTTP多框架handler/router增强,207,206,intelligence-review.json; enhancement-review.json
src/core/enhancement/LangChainEnhancement.ts,intelligence,retained,manual-full,Python LangChain/RAG应用代码的确定性识别,237,236,intelligence-review.json; enhancement-review.json
src/core/enhancement/MLEnhancement.ts,intelligence,retained,manual-full,Python ML模型/训练/data管道模式识别,272,271,intelligence-review.json; enhancement-review.json
src/core/enhancement/NextjsEnhancement.ts,intelligence,retained,manual-full,Next App Router/Server Actions/数据读取增强,233,232,intelligence-review.json; enhancement-review.json
src/core/enhancement/NodeServerEnhancement.ts,intelligence,retained,manual-full,Node HTTP/Nest DI/请求校验增强包,268,267,intelligence-review.json; enhancement-review.json
src/core/enhancement/ReactEnhancement.ts,intelligence,retained,manual-full,React Hooks、组件和RSC/状态模式增强,255,254,intelligence-review.json; enhancement-review.json
src/core/enhancement/RustTokioEnhancement.ts,intelligence,retained,manual-full,Rust异步运行时/任务与channel增强,238,237,intelligence-review.json; enhancement-review.json
src/core/enhancement/RustWebEnhancement.ts,intelligence,retained,manual-full,Rust Web handler/state/extractor增强,267,266,intelligence-review.json; enhancement-review.json
src/core/enhancement/SpringEnhancement.ts,intelligence,retained,manual-full,JVM Spring DI与REST增强,117,116,intelligence-review.json; enhancement-review.json
src/core/enhancement/SwiftIOSEnhancement.ts,intelligence,retained,manual-full,Swift/iOS小规模增强规则与分析指导,96,95,intelligence-review.json; enhancement-review.json
src/core/enhancement/VueEnhancement.ts,intelligence,retained,manual-full,Vue/Nuxt分析模式与SFC脚本预处理,244,243,intelligence-review.json; enhancement-review.json
src/core/enhancement/detectFrameworks.ts,intelligence,modified,manual-full,只读清单识别并生产匹配增强包的语言/框架坐标,317,331,intelligence-review.json; enhancement-review.json
src/core/enhancement/index.ts,intelligence,retained,manual-full,"按语言与框架选择的增强维度及Guard规则；导出 getEnhancementRegistry, initEnhancementRegistry",76,75,intelligence-review.json
src/core/index.ts,intelligence,retained,manual-full,模块公共barrel：逐项核对拥有层与导出来源；只转发既有能力，不新增根入口或破坏深路径兼容。,7,6,intelligence-review.json; root-intelligence-review.json
src/daemon/DaemonState.ts,foundation,retained,manual-full,"Exports: FirstStatement, DaemonPaths, DaemonState, getPackageVersion, resolveDaemonPaths, ensureDaemonDirs, readDaemonState, writeDaemonState, removeDaemonState, DaemonEntrypointRegistry, resolveDaemonEntrypointRegistryPath, writeDaemonEntrypointRegistry",175,174,foundation-review.json
src/daemon/JobDisplaySnapshotContracts.ts,foundation,modified,manual-full,事件/LLM IO/证据/截断资料的可序列化展示快照，manifest与SHA256校验和构建/核验。,544,546,foundation-review.json; foundation-supplement-review.json
src/daemon/JobProcessEventContracts.ts,foundation,retained,manual-full,进程事件公开schema、旧parentId输入兼容、sourceClass/display/retention默认值、developer投影与artifact refs归一化。,423,422,foundation-review.json; foundation-supplement-review.json
src/daemon/JobStore.ts,foundation,retained,manual-full,"Exports: DaemonJobKind, DaemonJobStatus, DaemonJobSource, DaemonJobError, DaemonJobRecord, JobStoreOptions, CreateDaemonJobInput, ListDaemonJobsOptions, MarkActiveJobsInterruptedOptions, JobStore, isSafeJobId, isTerminalStatus",294,293,foundation-review.json
src/daemon/ProjectRuntimeContracts.ts,foundation,retained,manual-full,项目控制状态/目标二选一/身份/readiness/failure DTO，字段归属和失败分类表的一致性校验与摘要。,1051,1050,foundation-review.json; foundation-supplement-review.json
src/daemon/ResidentServiceContracts.ts,foundation,retained,manual-full,resident capability逐feature owner/route归一化、可用性摘要和成功/不可用结果；区分api-ai与host-agent-recoverable job家族。,669,668,foundation-review.json; foundation-supplement-review.json
src/daemon/RuntimeContracts.ts,foundation,retained,manual-full,运行时health、能力声明和项目身份DTO的创建/宽容归一化；共享固定API路径及route/monitor枚举。,428,427,foundation-review.json; foundation-supplement-review.json
src/daemon/index.ts,foundation,modified,manual-full,daemon公共barrel；删去同模块export*已覆盖的重复具名类型声明，297符号及声明来源完全不变。,83,7,foundation-review.json; foundation-root-final-sources-review.json
src/database.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,39,38,foundation-review.json; foundation-root-final-sources-review.json
src/dimensions.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,53,52,foundation-review.json; foundation-root-final-sources-review.json
src/domain/dimension/BaseDimensions.ts,knowledge,retained,manual-full,UnifiedDimension 到旧 BaseDimension 的兼容投影及有序维度解析；身份分支避免重复目录数据。,108,107,knowledge-review.json
src/domain/dimension/DimensionCatalogPayload.ts,knowledge,retained,manual-full,目录 payload 深拷贝冻结、语言框架适用性、SOP 和提交规范渲染。,297,296,knowledge-review.json
src/domain/dimension/DimensionCopy.ts,knowledge,retained,manual-full,提供稳定维度名称/概述/提示/质量卡片和本地化展示映射；getOverview/getPhaseLabel 等静态入口以 Registry 身份为准。,417,416,knowledge-review.json
src/domain/dimension/DimensionRegistry.ts,knowledge,retained,manual-full,统一维度注册表；getDimension/getDimensionsByLayer、resolvePlanDimensionDefinitions、buildTierPlan 和 classifyRecipeToDimension 供规划/迁移/coverage 使用。,754,753,knowledge-review.json
src/domain/dimension/DimensionSop.ts,knowledge,retained,manual-full,26 个维度的完整探索 SOP、PRE_SUBMIT_CHECKLIST，以及 getDimensionSOP/focusKeywords/compact text 的确定性 briefing 资料。,1865,1864,knowledge-review.json
src/domain/dimension/RecipeDimension.ts,knowledge,retained,manual-full,维度归属解析：显式维度、notes、自定义维度、旧 category/type/tag、topic 推断；保持历史知识可分类。,184,183,knowledge-review.json
src/domain/dimension/UnifiedDimension.ts,knowledge,retained,manual-full,统一维度只读类型及通用/语言/框架/综合维度 ID 权威。,123,122,knowledge-review.json
src/domain/dimension/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,58,57,knowledge-review.json
src/domain/evolution/EvolutionPolicy.ts,knowledge,retained,manual-full,无 I/O 的进化门禁：update/merge/drift repair、弃用、pending 过期和观察期策略。,210,209,knowledge-review.json
src/domain/index.ts,foundation,retained,manual-full,逐项核对公共barrel/兼容facade及真实拥有层；保持入口、命名和业务能力，不扩大根导出。,29,28,foundation-review.json; foundation-root-final-sources-review.json
src/domain/knowledge/FieldSpec.ts,knowledge,modified,manual-full,创作字段/级别/示例说明权威表与宿主必填字段投影。,385,381,knowledge-review.json
src/domain/knowledge/KnowledgeEntry.ts,knowledge,retained,manual-full,知识聚合根；六态、值对象、历史、Guard 规则及 wire 序列化。,464,463,knowledge-review.json
src/domain/knowledge/KnowledgeRepository.ts,knowledge,retained,manual-full,历史可实例化仓储基类（方法 throw Not implemented）；类型面被 KnowledgeService 消费，公共值导出需兼容。,90,89,knowledge-review.json
src/domain/knowledge/Lifecycle.ts,knowledge,retained,manual-full,六态转换表和消费者状态集合；兼容别名及 SQL IN helper。,171,170,knowledge-review.json
src/domain/knowledge/RecipeRetrievalProfile.ts,knowledge,retained,manual-full,KnowledgeWire 检索画像类型别名；阻止 domain 再复制 schema。,16,15,knowledge-review.json
src/domain/knowledge/StyleGuide.ts,knowledge,retained,manual-full,由字段表渲染宿主创作说明并保留旧 Cursor 别名/提交文案。,106,105,knowledge-review.json
src/domain/knowledge/UnifiedValidator.ts,knowledge,modified,manual-full,字段、内容和唯一性三层候选校验及跨提交缓存。,369,398,knowledge-review.json
src/domain/knowledge/evidence-ledger/EvidenceLedgerContract.ts,knowledge,retained,manual-full,证据工具白名单、ID/范围解析和证据条目运行时校验。,150,149,knowledge-review.json
src/domain/knowledge/evidence-ledger/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,15,14,knowledge-review.json
src/domain/knowledge/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,39,38,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/contentContract.ts,knowledge,retained,manual-full,项目特写、深度价值量规和文档评分目标共享契约。,107,106,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/depthContract.ts,knowledge,retained,manual-full,深度五维定义、写作推理脚手架和自评文案。,107,106,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/depthReview.ts,knowledge,modified,manual-full,纯函数深度接地判定；用已解析规范来源身份计数并保守处理歧义后缀。,221,227,knowledge-review.json; production-review.json
src/domain/knowledge/recipe-authoring-spec/dimensionCompletion.ts,knowledge,retained,manual-full,维度完成最小候选/发现/分析/文件引用数权威常量。,26,25,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/examples/index.ts,knowledge,retained,manual-full,多语言 Recipe worked examples 和 example(language) 深拷贝入口；为引导生成和 gate-positive fixtures 提供真实规范样本。,420,419,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/failureModes.ts,knowledge,retained,manual-full,从 gateRules 的 rejectCodes 派生失败模式说明。,34,33,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/fields.ts,knowledge,retained,manual-full,历史 FieldSpec 的 canonical re-export，避免重复字段表。,30,29,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/gateRules.ts,knowledge,retained,manual-full,组合稳定 Stage3 规则、profile/evidence floor、resolveGroundedSourcePaths 与 validateAgainst；UnifiedValidator 的统一入场门禁。,979,978,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/guidanceGenerator.ts,knowledge,retained,manual-full,规则表派生提交工具字段说明、清单与宿主 guidance。,215,214,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,101,100,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/pipelineEventPayloads.ts,knowledge,retained,manual-full,按 completion 模式区分 payload 与旧 HostAgent 类型别名。,89,88,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/pipelineEvents.ts,knowledge,retained,manual-full,流水线稳定事件名称表，属于公共 transport contract。,32,31,knowledge-review.json
src/domain/knowledge/recipe-authoring-spec/styleWaiver.ts,knowledge,retained,manual-full,软风格违规的一次申辩，保留硬证据约束。,74,73,knowledge-review.json
src/domain/knowledge/values/Constraints.ts,knowledge,retained,manual-full,结构化 Guard、边界、前置条件、副作用值对象。,121,120,knowledge-review.json
src/domain/knowledge/values/Content.ts,knowledge,retained,manual-full,知识正文/模式/解释/步骤/代码变化/验证内容值对象。,80,79,knowledge-review.json
src/domain/knowledge/values/Quality.ts,knowledge,retained,manual-full,持久化兼容质量三维/overall/grade 值对象；不可误替换成五维评分输入。,94,93,knowledge-review.json
src/domain/knowledge/values/Reasoning.ts,knowledge,retained,manual-full,来源、置信度、备选、证据及风格申辩值对象。,96,95,knowledge-review.json
src/domain/knowledge/values/Relations.ts,knowledge,retained,manual-full,关系桶与旧 flat array 兼容转换、增删和遍历。,152,151,knowledge-review.json
src/domain/knowledge/values/Stats.ts,knowledge,modified,manual-full,使用计数、时间戳、authority/版本/误报率持久化值对象。,142,191,knowledge-review.json
src/domain/knowledge/values/index.ts,knowledge,retained,manual-full,模块出口聚合；内部依赖与 package public facade 仍引用，不能仅因无逻辑删除。,9,8,knowledge-review.json
src/domain/project-context/ProjectContextContracts.ts,intelligence,retained,manual-full,"ProjectContext持久/传输无关事实契约；导出 FirstStatement, FirstStatement, ProjectContextRequestKind, ProjectContextLevel, ProjectContextQueryErrorCode, ProjectContextQueryError",87,86,intelligence-review.json
